Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
Channel O,Western Cape,Male,Black,35-44,Friday,Weekday,Night,1,1,171,2.85,171,171,171,1,0,0
Channel O,Western Cape,Male,Coloured,25-34,Sunday,Weekend,Afternoon,4,4,1818,30.3,454.5,1068,42,3,1,0
Supersport Live Events,Western Cape,Male,Coloured,25-34,Thursday,Weekday,Prime Time,4,4,966,16.1,241.5,458,42,2,2,0
Cartoon Network,North West,Male,Black,25-34,Sunday,Weekend,Afternoon,1,1,20,0.33,20,20,20,0,0,1
Africa Magic,Gauteng,Male,Black,25-34,Saturday,Weekend,Afternoon,8,7,1587,26.45,198.38,947,13,3,1,4
Cartoon Network,Gauteng,Female,Black,25-34,Sunday,Weekend,Afternoon,1,1,774,12.9,774,774,774,1,0,0
Supersport Live Events,Gauteng,Male,White,35-44,Saturday,Weekend,Morning,1,1,28,0.47,28,28,28,0,0,1
Boomerang,Western Cape,Male,Coloured,25-34,Friday,Weekday,Morning,1,1,20,0.33,20,20,20,0,0,1
Channel O,Gauteng,Female,Indian_asian,25-34,Monday,Weekday,Night,1,1,33,0.55,33,33,33,0,1,0
Supersport Live Events,Western Cape,Male,White,25-34,Wednesday,Weekday,Afternoon,2,2,7110,118.5,3555,5372,1738,2,0,0
SuperSport Blitz,Gauteng,Male,White,35-44,Thursday,Weekday,Morning,1,1,106,1.77,106,106,106,0,1,0
Trace TV,Free State,Male,White,18-24,Saturday,Weekend,Afternoon,1,1,111,1.85,111,111,111,0,1,0
CNN,Gauteng,Male,Unknown,35-44,Saturday,Weekend,Night,1,1,78,1.3,78,78,78,0,1,0
Channel O,Gauteng,Male,Black,35-44,Sunday,Weekend,Night,2,2,81,1.35,40.5,66,15,0,1,1
ICC Cricket World Cup 2011,Gauteng,Male,Indian_asian,Under 18,Tuesday,Weekday,Afternoon,1,1,1376,22.93,1376,1376,1376,1,0,0
Channel O,Free State,Male,Black,18-24,Thursday,Weekday,Afternoon,1,1,66,1.1,66,66,66,0,1,0
Africa Magic,Mpumalanga,Male,Black,45-54,Thursday,Weekday,Late Night,2,2,1533,25.55,766.5,1391,142,2,0,0
Cartoon Network,Western Cape,Male,Coloured,35-44,Sunday,Weekend,Prime Time,3,3,2765,46.08,921.67,2663,31,1,2,0
SawSee,Western Cape,Male,Coloured,35-44,Saturday,Weekend,Afternoon,1,1,8,0.13,8,8,8,0,0,1
E! Entertainment,Gauteng,Male,Unknown,25-34,Friday,Weekday,Late Night,1,1,58,0.97,58,58,58,0,1,0
Africa Magic,Gauteng,Male,Black,25-34,Wednesday,Weekday,Afternoon,4,4,90,1.5,22.5,45,5,0,2,2
Channel O,KwaZulu-Natal,Male,Indian_asian,35-44,Friday,Weekday,Late Night,1,1,81,1.35,81,81,81,0,1,0
E! Entertainment,Gauteng,Male,Black,35-44,Saturday,Weekend,Prime Time,1,1,108,1.8,108,108,108,0,1,0
Cartoon Network,KwaZulu-Natal,Female,Indian_asian,Under 18,Saturday,Weekend,Morning,1,1,107,1.78,107,107,107,0,1,0
Africa Magic,Mpumalanga,Male,Black,18-24,Monday,Weekday,Late Night,3,3,825,13.75,275,426,32,2,1,0
Trace TV,Gauteng,Male,Coloured,18-24,Thursday,Weekday,Morning,1,1,246,4.1,246,246,246,1,0,0
Cartoon Network,Free State,Male,Black,25-34,Sunday,Weekend,Night,1,1,53,0.88,53,53,53,0,1,0
Supersport Live Events,Eastern Cape,Male,Black,45-54,Wednesday,Weekday,Night,1,1,74,1.23,74,74,74,0,1,0
Vuzu,Mpumalanga,Male,Unknown,18-24,Tuesday,Weekday,Prime Time,1,1,14,0.23,14,14,14,0,0,1
kykNET,Unknown,null,Unknown,55+,Tuesday,Weekday,Afternoon,1,1,228,3.8,228,228,228,1,0,0
ICC Cricket World Cup 2011,Gauteng,Female,Coloured,35-44,Sunday,Weekend,Afternoon,1,1,348,5.8,348,348,348,1,0,0
Africa Magic,Mpumalanga,Male,Indian_asian,25-34,Saturday,Weekend,Prime Time,1,1,90,1.5,90,90,90,0,1,0
Channel O,Mpumalanga,Male,Black,18-24,Friday,Weekday,Prime Time,1,1,1254,20.9,1254,1254,1254,1,0,0
Africa Magic,Limpopo,Male,Black,35-44,Saturday,Weekend,Prime Time,2,2,193,3.22,96.5,135,58,1,1,0
SuperSport Blitz,Gauteng,Male,Black,45-54,Wednesday,Weekday,Prime Time,2,2,1168,19.47,584,1114,54,1,1,0
CNN,Gauteng,Male,Black,25-34,Tuesday,Weekday,Night,2,2,2111,35.18,1055.5,2050,61,1,1,0
Africa Magic,North West,Male,Black,25-34,Thursday,Weekday,Prime Time,2,2,133,2.22,66.5,104,29,0,1,1
ICC Cricket World Cup 2011,Western Cape,Male,Other,18-24,Friday,Weekday,Afternoon,1,1,3256,54.27,3256,3256,3256,1,0,0
ICC Cricket World Cup 2011,Limpopo,Male,Black,25-34,Wednesday,Weekday,Prime Time,1,1,234,3.9,234,234,234,1,0,0
CNN,Western Cape,Male,Indian_asian,35-44,Thursday,Weekday,Afternoon,1,1,699,11.65,699,699,699,1,0,0
kykNET,KwaZulu-Natal,Male,Indian_asian,25-34,Friday,Weekday,Late Night,1,1,213,3.55,213,213,213,1,0,0
Cartoon Network,Gauteng,Male,Black,25-34,Wednesday,Weekday,Night,1,1,107,1.78,107,107,107,0,1,0
CNN,KwaZulu-Natal,Male,White,35-44,Tuesday,Weekday,Late Night,1,1,409,6.82,409,409,409,1,0,0
Boomerang,Western Cape,Male,Coloured,35-44,Wednesday,Weekday,Afternoon,1,1,176,2.93,176,176,176,1,0,0
E! Entertainment,Gauteng,Male,White,35-44,Thursday,Weekday,Afternoon,1,1,28,0.47,28,28,28,0,0,1
Trace TV,KwaZulu-Natal,Male,Unknown,35-44,Thursday,Weekday,Afternoon,1,1,39,0.65,39,39,39,0,1,0
Supersport Live Events,Eastern Cape,Male,Black,35-44,Thursday,Weekday,Afternoon,1,1,454,7.57,454,454,454,1,0,0
Africa Magic,Gauteng,Male,Black,35-44,Saturday,Weekend,Morning,2,2,2051,34.18,1025.5,1440,611,2,0,0
Supersport Live Events,Gauteng,Male,Unknown,25-34,Tuesday,Weekday,Afternoon,2,2,2674,44.57,1337,2598,76,1,1,0
Supersport Live Events,Western Cape,Male,Coloured,55+,Friday,Weekday,Prime Time,1,1,80,1.33,80,80,80,0,1,0
Trace TV,Western Cape,Male,Indian_asian,18-24,Saturday,Weekend,Afternoon,1,1,312,5.2,312,312,312,1,0,0
ICC Cricket World Cup 2011,Western Cape,Male,Coloured,25-34,Tuesday,Weekday,Prime Time,3,2,888,14.8,296,610,22,2,0,1
Trace TV,Gauteng,Male,White,18-24,Sunday,Weekend,Prime Time,1,1,627,10.45,627,627,627,1,0,0
CNN,North West,Male,Black,35-44,Friday,Weekday,Late Night,1,1,74,1.23,74,74,74,0,1,0
Africa Magic,KwaZulu-Natal,Male,Black,25-34,Tuesday,Weekday,Late Night,2,2,818,13.63,409,804,14,1,0,1
Channel O,Western Cape,Male,Indian_asian,45-54,Wednesday,Weekday,Afternoon,1,1,84,1.4,84,84,84,0,1,0
SuperSport Blitz,North West,Male,Black,35-44,Friday,Weekday,Late Night,1,1,6,0.1,6,6,6,0,0,1
Cartoon Network,Gauteng,Male,White,18-24,Friday,Weekday,Morning,2,2,222,3.7,111,153,69,1,1,0
Channel O,Gauteng,Male,Unknown,25-34,Tuesday,Weekday,Prime Time,1,1,372,6.2,372,372,372,1,0,0
M-Net,Mpumalanga,Male,White,18-24,Sunday,Weekend,Night,1,1,14,0.23,14,14,14,0,0,1
Cartoon Network,KwaZulu-Natal,Female,Black,25-34,Sunday,Weekend,Night,1,1,49,0.82,49,49,49,0,1,0
Supersport Live Events,Gauteng,Male,Coloured,18-24,Friday,Weekday,Prime Time,1,1,22,0.37,22,22,22,0,0,1
SawSee,Limpopo,Male,Black,35-44,Saturday,Weekend,Afternoon,1,1,4,0.07,4,4,4,0,0,1
Channel O,North West,Male,Black,25-34,Sunday,Weekend,Late Night,2,2,315,5.25,157.5,309,6,1,0,1
CNN,Eastern Cape,Male,Black,45-54,Saturday,Weekend,Afternoon,1,1,3,0.05,3,3,3,0,0,1
Supersport Live Events,Gauteng,Male,Coloured,35-44,Tuesday,Weekday,Late Night,1,1,34,0.57,34,34,34,0,1,0
SuperSport Blitz,Western Cape,Male,Unknown,25-34,Sunday,Weekend,Late Night,1,1,344,5.73,344,344,344,1,0,0
Africa Magic,Free State,Female,Black,18-24,Monday,Weekday,Night,1,1,83,1.38,83,83,83,0,1,0
Trace TV,Western Cape,Male,Unknown,18-24,Sunday,Weekend,Morning,1,1,2235,37.25,2235,2235,2235,1,0,0
SuperSport Blitz,Gauteng,Male,White,55+,Sunday,Weekend,Night,1,1,206,3.43,206,206,206,1,0,0
Africa Magic,Mpumalanga,Male,Black,25-34,Sunday,Weekend,Late Night,1,1,17,0.28,17,17,17,0,0,1
Supersport Live Events,Gauteng,Male,Black,18-24,Thursday,Weekday,Afternoon,2,2,68,1.13,34,42,26,0,1,1
Trace TV,KwaZulu-Natal,Male,Unknown,18-24,Saturday,Weekend,Afternoon,2,2,453,7.55,226.5,327,126,2,0,0
Cartoon Network,Gauteng,Male,Unknown,18-24,Saturday,Weekend,Late Night,1,1,53,0.88,53,53,53,0,1,0
Vuzu,Gauteng,Male,Indian_asian,25-34,Sunday,Weekend,Prime Time,1,1,23,0.38,23,23,23,0,0,1
Supersport Live Events,Eastern Cape,Male,White,Under 18,Saturday,Weekend,Prime Time,1,1,50,0.83,50,50,50,0,1,0
Supersport Live Events,Limpopo,Male,Coloured,45-54,Tuesday,Weekday,Night,1,1,50,0.83,50,50,50,0,1,0
Cartoon Network,Gauteng,Female,Black,18-24,Sunday,Weekend,Afternoon,1,1,4,0.07,4,4,4,0,0,1
ICC Cricket World Cup 2011,KwaZulu-Natal,Male,Indian_asian,45-54,Friday,Weekday,Prime Time,1,1,76,1.27,76,76,76,0,1,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Indian_asian,35-44,Friday,Weekday,Prime Time,1,1,736,12.27,736,736,736,1,0,0
E! Entertainment,Gauteng,Male,Black,35-44,Sunday,Weekend,Late Night,1,1,14,0.23,14,14,14,0,0,1
Boomerang,Eastern Cape,Male,Indian_asian,25-34,Tuesday,Weekday,Afternoon,2,1,1419,23.65,709.5,902,517,2,0,0
Cartoon Network,Gauteng,Male,Black,25-34,Monday,Weekday,Morning,1,1,523,8.72,523,523,523,1,0,0
CNN,Gauteng,Male,Black,35-44,Sunday,Weekend,Night,1,1,13,0.22,13,13,13,0,0,1
Supersport Live Events,Gauteng,Male,White,18-24,Thursday,Weekday,Afternoon,3,3,984,16.4,328,402,232,3,0,0
Cartoon Network,Mpumalanga,Female,Black,18-24,Wednesday,Weekday,Afternoon,1,1,3,0.05,3,3,3,0,0,1
CNN,Gauteng,Male,Unknown,55+,Sunday,Weekend,Prime Time,1,1,148,2.47,148,148,148,1,0,0
Boomerang,North West,Male,White,55+,Thursday,Weekday,Afternoon,1,1,44,0.73,44,44,44,0,1,0
Boomerang,Western Cape,Male,Coloured,25-34,Friday,Weekday,Late Night,1,1,169,2.82,169,169,169,1,0,0
Channel O,Western Cape,Male,Coloured,25-34,Monday,Weekday,Late Night,1,1,840,14,840,840,840,1,0,0
Supersport Live Events,Gauteng,Male,White,25-34,Friday,Weekday,Night,2,2,13150,219.17,6575,13128,22,1,0,1
Trace TV,Eastern Cape,Male,Coloured,18-24,Friday,Weekday,Prime Time,1,1,54,0.9,54,54,54,0,1,0
Channel O,Gauteng,Female,Black,35-44,Sunday,Weekend,Afternoon,1,1,4416,73.6,4416,4416,4416,1,0,0
Africa Magic,Northern Cape,Female,Black,25-34,Thursday,Weekday,Afternoon,1,1,552,9.2,552,552,552,1,0,0
Trace TV,Free State,Male,Black,45-54,Monday,Weekday,Afternoon,1,1,10776,179.6,10776,10776,10776,1,0,0
ICC Cricket World Cup 2011,North West,Male,White,35-44,Sunday,Weekend,Afternoon,1,1,834,13.9,834,834,834,1,0,0
Supersport Live Events,Western Cape,Male,Unknown,25-34,Saturday,Weekend,Afternoon,4,3,430,7.17,107.5,242,22,1,2,1
SuperSport Blitz,Gauteng,Male,Indian_asian,25-34,Wednesday,Weekday,Night,1,1,2270,37.83,2270,2270,2270,1,0,0
SuperSport Blitz,Limpopo,Male,Indian_asian,35-44,Thursday,Weekday,Afternoon,1,1,192,3.2,192,192,192,1,0,0
Trace TV,Eastern Cape,Male,Black,25-34,Friday,Weekday,Afternoon,1,1,4431,73.85,4431,4431,4431,1,0,0
Supersport Live Events,Gauteng,Male,Coloured,35-44,Friday,Weekday,Morning,1,1,9610,160.17,9610,9610,9610,1,0,0
Supersport Live Events,Western Cape,Male,Unknown,25-34,Thursday,Weekday,Afternoon,1,1,54,0.9,54,54,54,0,1,0
SuperSport Blitz,Free State,Male,Black,18-24,Tuesday,Weekday,Morning,1,1,6518,108.63,6518,6518,6518,1,0,0
SuperSport Blitz,Gauteng,Male,White,45-54,Saturday,Weekend,Afternoon,1,1,46,0.77,46,46,46,0,1,0
Supersport Live Events,Western Cape,Male,Coloured,25-34,Saturday,Weekend,Morning,2,2,1318,21.97,659,1138,180,2,0,0
Africa Magic,Gauteng,Female,Black,35-44,Saturday,Weekend,Afternoon,1,1,153,2.55,153,153,153,1,0,0
CNN,Northern Cape,Male,Coloured,35-44,Wednesday,Weekday,Night,1,1,24,0.4,24,24,24,0,0,1
Channel O,Mpumalanga,Female,Black,18-24,Thursday,Weekday,Prime Time,1,1,90,1.5,90,90,90,0,1,0
Vuzu,Gauteng,Male,Black,25-34,Sunday,Weekend,Night,2,2,69,1.15,34.5,35,34,0,2,0
Live on SuperSport,Gauteng,Female,Black,55+,Monday,Weekday,Morning,1,1,72,1.2,72,72,72,0,1,0
Channel O,Eastern Cape,Male,Black,45-54,Wednesday,Weekday,Prime Time,1,1,93,1.55,93,93,93,0,1,0
Trace TV,Western Cape,Male,Black,18-24,Sunday,Weekend,Late Night,1,1,948,15.8,948,948,948,1,0,0
Trace TV,Western Cape,Female,Coloured,25-34,Thursday,Weekday,Afternoon,1,1,1752,29.2,1752,1752,1752,1,0,0
Africa Magic,Western Cape,Male,Coloured,25-34,Saturday,Weekend,Late Night,2,2,427,7.12,213.5,238,189,2,0,0
Trace TV,Gauteng,Female,Unknown,25-34,Thursday,Weekday,Night,1,1,30,0.5,30,30,30,0,1,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Indian_asian,35-44,Saturday,Weekend,Afternoon,3,3,8162,136.03,2720.67,7228,312,3,0,0
Boomerang,Gauteng,Male,White,25-34,Sunday,Weekend,Afternoon,1,1,81,1.35,81,81,81,0,1,0
Cartoon Network,KwaZulu-Natal,Male,Indian_asian,18-24,Thursday,Weekday,Afternoon,2,2,320,5.33,160,300,20,1,0,1
Channel O,KwaZulu-Natal,Male,White,25-34,Sunday,Weekend,Late Night,1,1,90,1.5,90,90,90,0,1,0
Supersport Live Events,KwaZulu-Natal,Male,White,35-44,Friday,Weekday,Prime Time,1,1,540,9,540,540,540,1,0,0
Cartoon Network,Free State,Male,Coloured,18-24,Thursday,Weekday,Night,1,1,57,0.95,57,57,57,0,1,0
Trace TV,Eastern Cape,Male,Black,45-54,Thursday,Weekday,Prime Time,1,1,180,3,180,180,180,1,0,0
CNN,Western Cape,Male,Black,25-34,Wednesday,Weekday,Afternoon,2,2,887,14.78,443.5,521,366,2,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Unknown,25-34,Wednesday,Weekday,Prime Time,1,1,6178,102.97,6178,6178,6178,1,0,0
ICC Cricket World Cup 2011,Western Cape,Male,Unknown,25-34,Monday,Weekday,Afternoon,1,1,7678,127.97,7678,7678,7678,1,0,0
ICC Cricket World Cup 2011,Western Cape,Male,Coloured,25-34,Monday,Weekday,Prime Time,3,3,1536,25.6,512,1134,56,2,1,0
SuperSport Blitz,North West,Male,Black,25-34,Friday,Weekday,Night,1,1,570,9.5,570,570,570,1,0,0
Cartoon Network,Eastern Cape,Male,Black,55+,Sunday,Weekend,Night,1,1,4,0.07,4,4,4,0,0,1
DStv Events 1,Gauteng,Male,Black,25-34,Wednesday,Weekday,Late Night,1,1,20,0.33,20,20,20,0,0,1
Channel O,KwaZulu-Natal,Female,Black,35-44,Sunday,Weekend,Afternoon,1,1,5358,89.3,5358,5358,5358,1,0,0
Africa Magic,Mpumalanga,Male,Black,45-54,Friday,Weekday,Late Night,1,1,641,10.68,641,641,641,1,0,0
M-Net,Gauteng,Male,Black,Under 18,Sunday,Weekend,Morning,1,1,312,5.2,312,312,312,1,0,0
E! Entertainment,Western Cape,Male,Coloured,35-44,Monday,Weekday,Prime Time,1,1,114,1.9,114,114,114,0,1,0
Vuzu,Gauteng,Male,Black,25-34,Thursday,Weekday,Late Night,2,1,193,3.22,96.5,97,96,0,2,0
Supersport Live Events,Mpumalanga,Male,Black,45-54,Friday,Weekday,Night,1,1,86,1.43,86,86,86,0,1,0
Africa Magic,Northern Cape,Male,Black,25-34,Wednesday,Weekday,Prime Time,1,1,84,1.4,84,84,84,0,1,0
Boomerang,Northern Cape,Male,Black,35-44,Wednesday,Weekday,Prime Time,1,1,145,2.42,145,145,145,1,0,0
E! Entertainment,KwaZulu-Natal,Male,Indian_asian,25-34,Friday,Weekday,Late Night,1,1,248,4.13,248,248,248,1,0,0
E! Entertainment,Gauteng,Female,Black,35-44,Friday,Weekday,Prime Time,1,1,32,0.53,32,32,32,0,1,0
Cartoon Network,KwaZulu-Natal,Female,Indian_asian,25-34,Sunday,Weekend,Prime Time,1,1,34,0.57,34,34,34,0,1,0
SuperSport Blitz,KwaZulu-Natal,Male,Indian_asian,35-44,Saturday,Weekend,Prime Time,1,1,24,0.4,24,24,24,0,0,1
Trace TV,Mpumalanga,Male,Black,18-24,Tuesday,Weekday,Prime Time,1,1,390,6.5,390,390,390,1,0,0
Trace TV,Western Cape,Female,White,18-24,Monday,Weekday,Afternoon,1,1,12,0.2,12,12,12,0,0,1
Trace TV,Gauteng,Male,Black,25-34,Wednesday,Weekday,Afternoon,1,1,27,0.45,27,27,27,0,0,1
Channel O,Western Cape,Male,Black,18-24,Tuesday,Weekday,Afternoon,1,1,1110,18.5,1110,1110,1110,1,0,0
Boomerang,Eastern Cape,Male,Black,18-24,Sunday,Weekend,Afternoon,1,1,569,9.48,569,569,569,1,0,0
CNN,Gauteng,Male,Indian_asian,25-34,Thursday,Weekday,Morning,1,1,24,0.4,24,24,24,0,0,1
SuperSport Blitz,Mpumalanga,Male,Black,18-24,Sunday,Weekend,Morning,1,1,6,0.1,6,6,6,0,0,1
Boomerang,Mpumalanga,Male,White,18-24,Thursday,Weekday,Prime Time,1,1,8,0.13,8,8,8,0,0,1
Africa Magic,Gauteng,Male,Black,45-54,Wednesday,Weekday,Prime Time,2,2,143,2.38,71.5,137,6,1,0,1
Channel O,Limpopo,Male,Black,25-34,Tuesday,Weekday,Afternoon,1,1,123,2.05,123,123,123,1,0,0
CNN,Unknown,null,Unknown,55+,Thursday,Weekday,Afternoon,1,1,252,4.2,252,252,252,1,0,0
SawSee,Mpumalanga,Male,Black,18-24,Wednesday,Weekday,Afternoon,1,1,15,0.25,15,15,15,0,0,1
SawSee,Gauteng,Male,Indian_asian,18-24,Sunday,Weekend,Late Night,1,1,13,0.22,13,13,13,0,0,1
DStv Events 1,Gauteng,Female,White,25-34,Monday,Weekday,Prime Time,1,1,145,2.42,145,145,145,1,0,0
Cartoon Network,Limpopo,Male,Black,18-24,Sunday,Weekend,Prime Time,1,1,447,7.45,447,447,447,1,0,0
Cartoon Network,Western Cape,Male,Coloured,35-44,Sunday,Weekend,Night,1,1,221,3.68,221,221,221,1,0,0
Trace TV,KwaZulu-Natal,Male,Black,35-44,Tuesday,Weekday,Prime Time,3,3,1083,18.05,361,942,18,2,0,1
Channel O,Mpumalanga,Male,Black,18-24,Friday,Weekday,Afternoon,5,4,1485,24.75,297,675,48,3,2,0
Supersport Live Events,Mpumalanga,Male,Indian_asian,25-34,Tuesday,Weekday,Afternoon,1,1,284,4.73,284,284,284,1,0,0
CNN,Limpopo,Male,Indian_asian,18-24,Saturday,Weekend,Prime Time,1,1,8,0.13,8,8,8,0,0,1
Cartoon Network,Mpumalanga,Male,Black,18-24,Sunday,Weekend,Morning,1,1,146,2.43,146,146,146,1,0,0
CNN,Mpumalanga,Male,Black,55+,Thursday,Weekday,Morning,1,1,509,8.48,509,509,509,1,0,0
DStv Events 1,Eastern Cape,Male,White,55+,Saturday,Weekend,Night,1,1,150,2.5,150,150,150,1,0,0
Trace TV,Mpumalanga,Male,White,18-24,Monday,Weekday,Afternoon,1,1,543,9.05,543,543,543,1,0,0
SawSee,Limpopo,Male,Black,25-34,Wednesday,Weekday,Prime Time,1,1,246,4.1,246,246,246,1,0,0
Channel O,Gauteng,Male,Black,25-34,Monday,Weekday,Night,1,1,111,1.85,111,111,111,0,1,0
E! Entertainment,Western Cape,Male,Coloured,35-44,Friday,Weekday,Morning,1,1,12,0.2,12,12,12,0,0,1
Cartoon Network,Limpopo,Male,White,45-54,Saturday,Weekend,Night,1,1,17,0.28,17,17,17,0,0,1
SawSee,Eastern Cape,Male,Black,25-34,Saturday,Weekend,Afternoon,1,1,51,0.85,51,51,51,0,1,0
Supersport Live Events,Gauteng,Male,White,25-34,Saturday,Weekend,Morning,1,1,2142,35.7,2142,2142,2142,1,0,0
Supersport Live Events,North West,Male,White,25-34,Sunday,Weekend,Afternoon,1,1,10,0.17,10,10,10,0,0,1
ICC Cricket World Cup 2011,Gauteng,Male,Indian_asian,55+,Tuesday,Weekday,Morning,1,1,56,0.93,56,56,56,0,1,0
Channel O,Mpumalanga,Male,Indian_asian,25-34,Wednesday,Weekday,Afternoon,1,1,72,1.2,72,72,72,0,1,0
Boomerang,Gauteng,Male,Black,45-54,Sunday,Weekend,Afternoon,1,1,469,7.82,469,469,469,1,0,0
Boomerang,Western Cape,Male,Coloured,25-34,Wednesday,Weekday,Afternoon,2,2,547,9.12,273.5,482,65,1,1,0
Africa Magic,Mpumalanga,Male,Unknown,55+,Wednesday,Weekday,Prime Time,1,1,1,0.02,1,1,1,0,0,1
ICC Cricket World Cup 2011,Mpumalanga,Male,Black,25-34,Sunday,Weekend,Afternoon,1,1,254,4.23,254,254,254,1,0,0
Supersport Live Events,Gauteng,Male,White,55+,Saturday,Weekend,Prime Time,1,1,72,1.2,72,72,72,0,1,0
CNN,Gauteng,Female,Black,55+,Wednesday,Weekday,Morning,1,1,74,1.23,74,74,74,0,1,0
Boomerang,Mpumalanga,Male,Black,18-24,Monday,Weekday,Morning,1,1,44,0.73,44,44,44,0,1,0
Channel O,Western Cape,Female,Coloured,35-44,Wednesday,Weekday,Afternoon,1,1,60,1,60,60,60,0,1,0
SuperSport Blitz,Free State,Male,Black,18-24,Thursday,Weekday,Night,1,1,338,5.63,338,338,338,1,0,0
Channel O,KwaZulu-Natal,Male,Black,25-34,Tuesday,Weekday,Morning,1,1,459,7.65,459,459,459,1,0,0
Cartoon Network,Mpumalanga,Female,Unknown,35-44,Sunday,Weekend,Afternoon,1,1,1250,20.83,1250,1250,1250,1,0,0
Boomerang,KwaZulu-Natal,Male,Black,Under 18,Sunday,Weekend,Afternoon,1,1,26,0.43,26,26,26,0,0,1
Channel O,Mpumalanga,Male,Black,25-34,Monday,Weekday,Morning,2,2,3291,54.85,1645.5,2991,300,2,0,0
SuperSport Blitz,Western Cape,Male,Indian_asian,45-54,Wednesday,Weekday,Afternoon,1,1,30,0.5,30,30,30,0,1,0
Africa Magic,Gauteng,Male,Coloured,35-44,Friday,Weekday,Night,1,1,57,0.95,57,57,57,0,1,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Indian_asian,25-34,Sunday,Weekend,Afternoon,2,2,7148,119.13,3574,6992,156,2,0,0
Africa Magic,North West,Male,Black,35-44,Monday,Weekday,Late Night,1,1,163,2.72,163,163,163,1,0,0
Channel O,Gauteng,Male,Black,35-44,Monday,Weekday,Night,1,1,177,2.95,177,177,177,1,0,0
Trace TV,KwaZulu-Natal,Male,Unknown,18-24,Sunday,Weekend,Afternoon,1,1,84,1.4,84,84,84,0,1,0
E! Entertainment,Eastern Cape,Male,Black,25-34,Tuesday,Weekday,Prime Time,1,1,24,0.4,24,24,24,0,0,1
Supersport Live Events,Western Cape,Male,Coloured,25-34,Wednesday,Weekday,Prime Time,1,1,3610,60.17,3610,3610,3610,1,0,0
Cartoon Network,Gauteng,Male,Black,45-54,Sunday,Weekend,Night,1,1,93,1.55,93,93,93,0,1,0
E! Entertainment,Western Cape,Male,Coloured,45-54,Sunday,Weekend,Afternoon,1,1,226,3.77,226,226,226,1,0,0
Trace TV,Limpopo,Male,Black,25-34,Friday,Weekday,Late Night,1,1,162,2.7,162,162,162,1,0,0
Supersport Live Events,Western Cape,Male,Black,25-34,Monday,Weekday,Late Night,1,1,344,5.73,344,344,344,1,0,0
Channel O,Mpumalanga,Male,White,35-44,Sunday,Weekend,Afternoon,1,1,36,0.6,36,36,36,0,1,0
ICC Cricket World Cup 2011,Gauteng,Male,White,55+,Wednesday,Weekday,Prime Time,1,1,248,4.13,248,248,248,1,0,0
Boomerang,Eastern Cape,Female,White,Under 18,Friday,Weekday,Prime Time,1,1,10,0.17,10,10,10,0,0,1
Trace TV,Western Cape,Female,Coloured,35-44,Friday,Weekday,Afternoon,1,1,84,1.4,84,84,84,0,1,0
ICC Cricket World Cup 2011,Western Cape,Male,Indian_asian,35-44,Saturday,Weekend,Prime Time,1,1,41368,689.47,41368,41368,41368,1,0,0
ICC Cricket World Cup 2011,Unknown,null,Unknown,55+,Saturday,Weekend,Night,1,1,120,2,120,120,120,0,1,0
Supersport Live Events,North West,Male,White,45-54,Friday,Weekday,Prime Time,1,1,444,7.4,444,444,444,1,0,0
Africa Magic,KwaZulu-Natal,Male,Black,35-44,Saturday,Weekend,Afternoon,1,1,49,0.82,49,49,49,0,1,0
Boomerang,Western Cape,Female,White,35-44,Wednesday,Weekday,Late Night,1,1,12,0.2,12,12,12,0,0,1
SuperSport Blitz,Mpumalanga,Male,Unknown,25-34,Thursday,Weekday,Prime Time,1,1,52,0.87,52,52,52,0,1,0
CNN,Gauteng,Male,Black,45-54,Saturday,Weekend,Morning,1,1,93,1.55,93,93,93,0,1,0
Channel O,KwaZulu-Natal,Male,Black,Under 18,Friday,Weekday,Late Night,1,1,486,8.1,486,486,486,1,0,0
DStv Events 1,KwaZulu-Natal,Female,Black,25-34,Tuesday,Weekday,Morning,1,1,275,4.58,275,275,275,1,0,0
Cartoon Network,Gauteng,Female,Coloured,25-34,Friday,Weekday,Prime Time,1,1,181,3.02,181,181,181,1,0,0
ICC Cricket World Cup 2011,Western Cape,Male,Indian_asian,35-44,Friday,Weekday,Prime Time,1,1,26,0.43,26,26,26,0,0,1
Boomerang,Limpopo,Male,Indian_asian,18-24,Tuesday,Weekday,Prime Time,1,1,250,4.17,250,250,250,1,0,0
Supersport Live Events,Gauteng,Male,Indian_asian,25-34,Thursday,Weekday,Morning,2,2,4454,74.23,2227,4412,42,1,1,0
E! Entertainment,Gauteng,Male,Black,18-24,Tuesday,Weekday,Late Night,1,1,10,0.17,10,10,10,0,0,1
CNN,Gauteng,Male,Black,35-44,Tuesday,Weekday,Prime Time,1,1,39,0.65,39,39,39,0,1,0
Boomerang,KwaZulu-Natal,Female,Black,45-54,Saturday,Weekend,Prime Time,1,1,4,0.07,4,4,4,0,0,1
