Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
CNN,Gauteng,Male,Black,45-54,Friday,Weekday,Night,1,1,1509,25.15,1509,1509,1509,1,0,0
SuperSport Blitz,Gauteng,Male,White,45-54,Wednesday,Weekday,Morning,1,1,238,3.97,238,238,238,1,0,0
Supersport Live Events,Gauteng,Male,Indian_asian,35-44,Tuesday,Weekday,Afternoon,2,1,352,5.87,176,328,24,1,0,1
Channel O,Eastern Cape,Male,Black,45-54,Monday,Weekday,Late Night,1,1,3447,57.45,3447,3447,3447,1,0,0
Boomerang,Gauteng,Male,Coloured,25-34,Friday,Weekday,Afternoon,1,1,1336,22.27,1336,1336,1336,1,0,0
Boomerang,Gauteng,Female,White,55+,Monday,Weekday,Afternoon,1,1,14,0.23,14,14,14,0,0,1
Supersport Live Events,Western Cape,Male,Coloured,35-44,Sunday,Weekend,Morning,1,1,120,2,120,120,120,0,1,0
SuperSport Blitz,Gauteng,Male,Unknown,25-34,Wednesday,Weekday,Prime Time,1,1,140,2.33,140,140,140,1,0,0
Cartoon Network,Gauteng,Male,Unknown,25-34,Saturday,Weekend,Morning,1,1,32,0.53,32,32,32,0,1,0
Africa Magic,Mpumalanga,Male,Black,35-44,Monday,Weekday,Afternoon,1,1,483,8.05,483,483,483,1,0,0
SuperSport Blitz,Western Cape,Male,Indian_asian,45-54,Saturday,Weekend,Prime Time,1,1,1240,20.67,1240,1240,1240,1,0,0
CNN,Gauteng,Male,Unknown,25-34,Tuesday,Weekday,Morning,1,1,18,0.3,18,18,18,0,0,1
CNN,Gauteng,Male,Black,35-44,Monday,Weekday,Late Night,1,1,18,0.3,18,18,18,0,0,1
Africa Magic,Northern Cape,Male,Black,35-44,Sunday,Weekend,Afternoon,1,1,105,1.75,105,105,105,0,1,0
Africa Magic,Northern Cape,Female,Black,25-34,Wednesday,Weekday,Night,1,1,12,0.2,12,12,12,0,0,1
SuperSport Blitz,Gauteng,Male,Indian_asian,25-34,Tuesday,Weekday,Prime Time,1,1,94,1.57,94,94,94,0,1,0
Africa Magic,Northern Cape,Female,Black,35-44,Wednesday,Weekday,Prime Time,1,1,48,0.8,48,48,48,0,1,0
SuperSport Blitz,North West,Male,Black,18-24,Sunday,Weekend,Night,1,1,752,12.53,752,752,752,1,0,0
E! Entertainment,Western Cape,Male,Coloured,35-44,Sunday,Weekend,Late Night,2,1,8084,134.73,4042,6484,1600,2,0,0
Supersport Live Events,Western Cape,Male,Indian_asian,18-24,Saturday,Weekend,Night,1,1,2002,33.37,2002,2002,2002,1,0,0
Cartoon Network,KwaZulu-Natal,Male,Indian_asian,25-34,Thursday,Weekday,Morning,1,1,538,8.97,538,538,538,1,0,0
SuperSport Blitz,Western Cape,Male,Coloured,55+,Thursday,Weekday,Night,1,1,150,2.5,150,150,150,1,0,0
Boomerang,Gauteng,Female,White,45-54,Thursday,Weekday,Afternoon,1,1,493,8.22,493,493,493,1,0,0
CNN,Western Cape,Male,Black,25-34,Wednesday,Weekday,Late Night,1,1,113,1.88,113,113,113,0,1,0
CNN,Western Cape,Male,Coloured,25-34,Friday,Weekday,Late Night,1,1,52,0.87,52,52,52,0,1,0
SuperSport Blitz,Gauteng,Male,Unknown,35-44,Wednesday,Weekday,Afternoon,1,1,32,0.53,32,32,32,0,1,0
Africa Magic,Gauteng,Male,Black,18-24,Wednesday,Weekday,Prime Time,1,1,7,0.12,7,7,7,0,0,1
Boomerang,KwaZulu-Natal,Male,Black,18-24,Friday,Weekday,Afternoon,1,1,40,0.67,40,40,40,0,1,0
Supersport Live Events,Gauteng,Male,Black,35-44,Wednesday,Weekday,Morning,2,1,1098,18.3,549,556,542,2,0,0
Cartoon Network,Mpumalanga,Male,White,25-34,Saturday,Weekend,Late Night,1,1,967,16.12,967,967,967,1,0,0
Supersport Live Events,Western Cape,Male,Coloured,45-54,Wednesday,Weekday,Late Night,1,1,278,4.63,278,278,278,1,0,0
E! Entertainment,Western Cape,Female,Coloured,18-24,Monday,Weekday,Night,1,1,40,0.67,40,40,40,0,1,0
DStv Events 1,Gauteng,Male,Other,25-34,Monday,Weekday,Late Night,1,1,150,2.5,150,150,150,1,0,0
Supersport Live Events,Free State,Male,Coloured,Under 18,Monday,Weekday,Prime Time,1,1,140,2.33,140,140,140,1,0,0
MK,Western Cape,Male,Coloured,Under 18,Sunday,Weekend,Prime Time,1,1,42,0.7,42,42,42,0,1,0
Supersport Live Events,Mpumalanga,Female,Indian_asian,25-34,Wednesday,Weekday,Prime Time,1,1,6132,102.2,6132,6132,6132,1,0,0
Cartoon Network,Limpopo,Male,White,25-34,Monday,Weekday,Morning,1,1,3,0.05,3,3,3,0,0,1
Africa Magic,Limpopo,Male,White,25-34,Monday,Weekday,Morning,1,1,75,1.25,75,75,75,0,1,0
Channel O,KwaZulu-Natal,Male,Black,Under 18,Friday,Weekday,Prime Time,1,1,60,1,60,60,60,0,1,0
SuperSport Blitz,Gauteng,Male,White,35-44,Sunday,Weekend,Night,1,1,116,1.93,116,116,116,0,1,0
Supersport Live Events,Limpopo,Male,Black,18-24,Thursday,Weekday,Prime Time,1,1,16,0.27,16,16,16,0,0,1
SuperSport Blitz,North West,Male,Black,18-24,Sunday,Weekend,Afternoon,1,1,1120,18.67,1120,1120,1120,1,0,0
Boomerang,Mpumalanga,Male,Black,18-24,Thursday,Weekday,Morning,1,1,2504,41.73,2504,2504,2504,1,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Coloured,35-44,Sunday,Weekend,Prime Time,1,1,66,1.1,66,66,66,0,1,0
Boomerang,Mpumalanga,Female,Black,35-44,Wednesday,Weekday,Prime Time,1,1,43,0.72,43,43,43,0,1,0
DStv Events 1,Gauteng,Male,Indian_asian,35-44,Saturday,Weekend,Night,1,1,45,0.75,45,45,45,0,1,0
CNN,Gauteng,Female,White,35-44,Friday,Weekday,Afternoon,1,1,42,0.7,42,42,42,0,1,0
SuperSport Blitz,Western Cape,Male,Black,25-34,Tuesday,Weekday,Prime Time,1,1,1140,19,1140,1140,1140,1,0,0
SuperSport Blitz,Free State,Female,Black,Under 18,Sunday,Weekend,Night,1,1,780,13,780,780,780,1,0,0
Cartoon Network,KwaZulu-Natal,Male,Indian_asian,35-44,Tuesday,Weekday,Afternoon,1,1,230,3.83,230,230,230,1,0,0
Supersport Live Events,Mpumalanga,Male,White,18-24,Monday,Weekday,Prime Time,1,1,18,0.3,18,18,18,0,0,1
Supersport Live Events,Free State,Female,Unknown,25-34,Saturday,Weekend,Prime Time,1,1,20,0.33,20,20,20,0,0,1
Trace TV,KwaZulu-Natal,Female,Black,35-44,Monday,Weekday,Night,1,1,36,0.6,36,36,36,0,1,0
CNN,Mpumalanga,Male,Indian_asian,35-44,Monday,Weekday,Afternoon,1,1,3,0.05,3,3,3,0,0,1
DStv Events 1,Gauteng,Male,Black,35-44,Sunday,Weekend,Morning,1,1,255,4.25,255,255,255,1,0,0
